,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,SEASON
0,Aaron Gordon,ORL,24,62,30,32,48.2,21.4,8.0,18.3,43.7,1.7,5.7,30.8,3.6,5.4,67.4,2.6,8.8,11.4,5.5,2.4,1.2,0.9,3.0,47.3,20,1,-1.6,2020
1,Aaron Holiday,IND,23,66,42,24,47.6,18.5,6.9,16.6,41.4,2.6,6.5,39.4,2.2,2.6,85.1,0.6,3.9,4.6,6.6,2.6,1.6,0.5,3.5,37.6,3,0,3.3,2020
2,Abdel Nader,OKC,26,55,37,18,47.2,18.8,6.7,14.3,46.8,2.6,7.0,37.5,2.8,3.6,77.3,0.8,4.7,5.4,2.1,2.3,1.3,1.1,4.3,33.1,0,0,-4.6,2020
3,Adam Mokoka,CHI,21,11,3,8,46.9,13.4,5.0,11.8,42.9,2.5,6.3,40.0,0.8,1.7,50.0,2.9,1.3,4.2,1.7,0.8,1.7,0.0,7.1,25.2,0,0,21.0,2020
4,Admiral Schofield,WAS,23,33,9,24,46.6,12.5,4.4,11.6,38.0,2.4,7.7,31.1,1.3,1.9,66.7,0.9,5.1,5.9,1.9,0.9,1.0,0.5,6.3,26.2,0,0,-7.2,2020
5,Al Horford,PHI,34,67,39,28,47.8,18.8,7.5,16.7,45.0,2.3,6.7,35.0,1.4,1.9,76.3,2.4,8.3,10.8,6.4,1.9,1.2,1.4,3.3,47.4,6,0,3.0,2020
6,Al-Farouq Aminu,ORL,29,18,7,11,47.7,9.8,3.1,10.8,29.1,1.1,4.5,25.0,2.4,3.6,65.5,3.0,7.9,10.9,2.6,2.1,2.3,1.0,3.4,34.5,1,0,-4.4,2020
7,Alec Burks,PHI,28,66,21,45,47.0,26.6,8.6,20.6,41.8,3.1,8.1,38.5,6.3,7.1,88.7,1.3,6.3,7.6,5.1,2.4,1.7,0.5,3.4,47.2,1,0,-6.0,2020
8,Alen Smailagic,GSW,19,14,1,13,45.7,19.4,6.6,13.2,50.0,1.0,4.3,23.1,5.3,6.3,84.2,3.3,5.6,8.9,4.3,3.6,1.0,1.3,4.6,39.8,0,0,-2.6,2020
9,Alex Caruso,LAL,26,64,48,16,46.7,13.9,4.8,11.6,41.2,1.6,4.8,33.3,2.7,3.7,73.4,0.7,4.2,4.9,4.9,2.1,2.8,0.7,3.9,35.5,0,0,9.8,2020
10,Alex Len,SAC,27,55,18,37,45.8,20.7,8.4,15.1,55.5,0.8,2.8,27.1,3.2,5.0,64.8,4.7,10.4,15.1,2.4,2.6,1.1,2.3,6.0,49.8,8,0,-5.2,2020
11,Alfonzo McKinnie,CLE,27,40,11,29,47.3,14.5,5.8,13.6,42.7,1.1,5.2,21.5,1.8,2.5,71.0,3.0,6.1,9.0,1.1,2.1,1.8,0.6,5.7,32.3,1,0,-7.4,2020
12,Alize Johnson,IND,24,17,10,7,45.3,13.1,4.6,11.2,41.4,1.2,3.1,37.5,2.7,3.8,70.0,6.2,12.3,18.5,2.7,2.7,1.2,0.8,4.6,42.3,1,0,9.6,2020
13,Allen Crabbe,MIN,28,37,5,32,45.3,11.9,4.4,12.3,35.6,2.5,8.2,30.3,0.7,1.0,71.4,0.8,4.6,5.3,2.3,1.2,1.0,0.3,3.3,24.5,0,0,-15.3,2020
14,Allonzo Trier,NYK,24,24,2,22,47.0,25.1,8.3,17.2,48.1,3.1,8.6,35.8,5.5,7.0,79.1,1.0,3.7,4.7,4.5,3.6,0.5,0.6,4.7,37.3,0,0,-11.5,2020
15,Amile Jefferson,ORL,27,18,5,13,46.5,9.4,3.1,8.8,35.7,0.0,0.0,0.0,3.1,8.8,35.7,6.3,8.1,14.4,2.5,1.9,0.6,1.9,4.4,36.0,0,0,11.3,2020
16,Amir Coffey,LAC,23,18,11,7,46.1,16.8,6.7,15.7,42.6,1.7,5.5,31.6,1.7,3.2,54.5,1.2,3.5,4.6,4.1,2.3,1.4,0.6,5.8,32.2,0,0,-1.4,2020
17,Andre Drummond,CLE,26,57,21,36,48.6,26.1,10.8,20.3,53.3,0.1,0.9,14.3,4.4,7.6,57.5,6.5,15.9,22.3,3.9,5.2,2.8,2.4,5.2,69.2,47,0,-4.9,2020
18,Andre Iguodala,MIA,36,21,10,11,46.4,10.6,4.2,9.8,43.2,1.6,5.2,29.8,0.7,1.7,40.0,1.9,6.8,8.6,5.7,2.9,1.6,2.3,3.9,38.3,0,0,-2.8,2020
19,Andre Roberson,OKC,28,7,3,4,46.0,10.6,4.2,15.3,27.6,1.6,7.4,21.4,0.5,1.1,50.0,3.7,10.6,14.3,2.1,1.1,0.5,1.6,6.9,36.2,0,0,-1.6,2020
20,Andrew Wiggins,GSW,25,54,15,39,46.4,29.3,10.9,24.4,44.7,2.8,8.3,33.2,4.7,6.7,70.9,1.6,5.2,6.8,4.9,3.3,1.1,1.3,3.2,49.0,4,1,-5.0,2020
21,Anfernee Simons,POR,21,70,32,38,46.6,18.6,6.9,17.3,39.9,2.4,7.3,33.2,2.4,3.0,82.6,0.8,4.1,4.9,3.1,2.0,0.8,0.3,4.3,30.7,1,0,-8.0,2020
22,Ante Zizic,CLE,23,22,4,18,46.8,20.4,8.7,15.3,56.9,0.0,0.0,0.0,3.0,4.0,73.7,3.8,10.2,14.0,1.3,2.1,1.5,1.1,5.7,44.6,1,0,3.0,2020
23,Anthony Davis,LAL,27,62,46,16,46.8,35.5,12.1,24.1,50.3,1.6,4.8,33.0,9.7,11.5,84.6,3.1,9.5,12.7,4.4,3.4,2.0,3.1,3.4,69.3,29,0,5.3,2020
24,Anthony Tolliver,MEM,35,55,24,31,46.2,10.6,3.4,9.7,35.7,2.6,7.7,33.8,1.1,1.5,72.4,1.8,6.4,8.2,2.2,1.8,1.0,0.6,3.9,26.7,1,0,-5.5,2020
25,Antonius Cleveland,DAL,26,11,6,5,48.1,11.6,4.2,14.7,28.6,0.0,3.2,0.0,3.2,5.3,60.0,2.1,5.3,7.4,1.1,2.1,1.1,3.2,8.4,32.5,0,0,-12.6,2020
26,Anzejs Pasecniks,WAS,24,27,9,18,46.0,16.4,6.4,12.2,52.6,0.0,0.3,0.0,3.6,6.1,58.6,4.4,6.8,11.3,1.9,2.5,0.9,1.3,7.9,36.9,0,0,-0.4,2020
27,Aron Baynes,PHX,33,42,19,23,46.8,24.1,9.2,19.1,48.0,3.0,8.4,35.1,2.8,3.8,74.7,3.6,8.3,11.9,3.4,2.5,0.5,1.2,7.1,45.8,3,0,-2.3,2020
28,Austin Rivers,HOU,27,68,43,25,45.4,17.0,6.0,14.3,42.1,2.7,7.7,35.6,2.2,3.2,70.3,0.8,4.2,5.0,3.2,1.4,1.4,0.3,3.7,31.4,0,0,2.3,2020
29,Avery Bradley,LAL,29,49,36,13,46.6,16.6,6.7,15.0,44.4,2.5,6.8,36.4,0.8,0.9,83.3,0.7,3.8,4.5,2.5,1.8,1.7,0.2,4.3,29.6,0,0,7.2,2020
30,BJ Johnson,ORL,24,10,5,5,43.7,15.9,4.8,16.9,28.1,1.6,4.8,33.3,4.8,5.3,90.0,1.6,6.3,7.9,1.6,3.2,1.6,0.0,1.6,29.4,0,0,-4.8,2020
31,Bam Adebayo,MIA,22,72,44,28,48.8,23.1,8.9,16.0,55.7,0.0,0.3,14.3,5.3,7.7,69.1,3.6,11.3,14.8,7.4,4.1,1.7,1.9,3.7,58.6,40,3,4.9,2020
32,Ben McLemore,HOU,27,71,44,27,45.6,20.1,6.8,15.3,44.4,5.1,12.7,40.0,1.4,1.9,74.6,0.6,3.8,4.4,1.6,1.4,1.3,0.5,4.4,31.6,1,0,5.3,2020
33,Ben Simmons,PHI,23,57,35,22,47.5,22.1,8.8,15.3,58.0,0.0,0.2,28.6,4.4,7.0,62.1,2.7,7.8,10.5,10.7,4.7,2.8,0.8,4.4,56.8,31,6,1.5,2020
34,Bismack Biyombo,CHA,27,53,18,35,50.0,19.1,7.3,13.5,54.3,0.0,0.0,0.0,4.4,7.3,60.3,5.8,9.1,15.0,2.4,2.3,0.5,2.4,5.6,46.9,8,0,-7.4,2020
35,Blake Griffin,DET,31,18,8,10,48.8,26.6,8.4,23.8,35.2,2.6,10.6,24.3,7.2,9.3,77.6,1.6,6.4,8.0,5.6,3.8,0.7,0.7,2.6,44.8,2,0,-2.5,2020
36,Boban Marjanovic,DAL,31,44,21,23,47.3,32.4,13.6,23.7,57.3,0.4,1.9,23.5,4.8,6.4,75.4,7.4,14.7,22.1,2.2,3.4,0.9,1.1,6.3,65.0,6,0,5.5,2020
37,Bobby Portis,NYK,25,66,21,45,47.1,22.6,9.0,19.9,45.0,2.3,6.3,35.8,2.4,3.1,76.3,2.7,8.7,11.4,3.3,2.5,1.1,0.6,3.7,43.9,5,0,-6.5,2020
38,Bogdan Bogdanovic,SAC,27,61,29,32,48.3,25.3,9.2,20.9,44.0,4.5,12.1,37.2,2.4,3.2,74.1,0.7,4.9,5.7,5.7,2.8,1.7,0.4,3.6,44.2,2,0,-1.2,2020
39,Bojan Bogdanovic,UTA,31,63,41,22,48.1,29.5,9.7,21.6,44.7,4.4,10.6,41.4,5.8,6.4,90.3,0.9,5.1,6.0,3.0,3.7,0.8,0.2,2.5,40.3,0,0,6.2,2020
40,Bol Bol,DEN,20,7,2,5,49.1,22.6,7.9,15.8,50.0,2.3,5.1,44.4,4.5,5.6,80.0,2.8,7.9,10.7,3.4,5.6,1.1,3.4,6.2,48.5,0,0,-11.9,2020
41,Brad Wanamaker,BOS,30,71,48,23,47.4,16.9,5.6,12.5,44.8,1.3,3.5,36.3,4.4,4.7,92.6,0.8,4.2,5.0,6.2,2.6,2.1,0.5,4.6,37.3,0,0,4.6,2020
42,Bradley Beal,WAS,27,57,20,37,46.3,39.3,13.4,29.4,45.5,3.8,10.9,35.3,8.7,10.3,84.2,1.2,4.3,5.5,7.8,4.4,1.6,0.5,2.8,59.6,8,0,-4.5,2020
43,Brandon Clarke,MEM,23,58,29,29,45.4,24.4,10.3,16.7,61.8,0.8,2.2,35.9,3.0,3.9,75.9,3.2,8.8,12.0,2.8,1.9,1.1,1.7,3.5,49.6,3,0,-0.7,2020
44,Brandon Goodwin,ATL,24,34,13,21,45.9,22.0,8.1,20.3,40.0,2.8,9.3,29.9,3.0,3.2,93.3,1.2,6.5,7.7,5.4,3.1,1.3,0.4,4.6,41.4,0,0,-13.6,2020
45,Brandon Ingram,NOP,22,62,25,37,45.6,32.0,11.0,23.8,46.3,3.3,8.3,39.1,6.8,8.0,85.1,1.1,7.1,8.2,5.6,4.1,1.3,0.8,3.9,52.7,9,0,-1.0,2020
46,Brandon Knight,DET,28,25,4,21,48.5,19.2,6.2,17.5,35.3,4.7,13.7,34.4,2.1,3.6,58.8,0.4,3.9,4.3,7.2,4.0,1.0,0.3,4.2,35.3,0,0,-7.3,2020
47,Brian Bowen II,IND,21,6,5,1,47.8,9.2,4.6,15.4,30.0,0.0,3.1,0.0,0.0,0.0,0.0,1.5,9.2,10.8,0.0,1.5,0.0,1.5,4.6,25.2,0,0,20.0,2020
48,Brook Lopez,MIL,32,68,53,15,44.8,20.1,7.2,16.6,43.5,2.5,8.0,31.4,3.1,3.7,83.6,1.4,6.3,7.7,2.4,1.7,1.1,4.0,4.0,46.7,4,0,13.0,2020
49,Bruce Brown,DET,23,58,18,40,48.9,15.5,5.9,13.4,44.3,1.0,2.9,34.4,2.6,3.6,73.9,1.8,6.4,8.2,6.9,3.0,1.9,0.9,4.9,40.9,4,0,-4.1,2020
50,Bruno Caboclo,HOU,24,30,11,19,44.4,16.4,6.9,16.2,42.7,1.1,6.0,18.2,1.5,1.6,88.9,4.2,6.7,10.9,2.2,2.4,2.7,3.1,5.6,47.8,1,0,-5.8,2020
51,Bruno Fernando,ATL,21,56,18,38,46.4,15.6,6.7,12.9,51.8,0.3,2.4,13.5,1.9,3.3,56.9,4.4,8.5,12.9,3.2,2.7,1.2,1.1,7.0,40.0,1,0,-6.1,2020
52,Bryn Forbes,SAS,26,63,27,36,47.8,21.4,7.3,17.6,41.7,4.5,11.5,38.8,2.3,2.7,83.3,0.4,3.4,3.8,3.3,1.7,1.0,0.0,3.4,32.1,0,0,-6.5,2020
53,Buddy Hield,SAC,27,72,31,41,47.4,29.6,10.7,24.9,42.9,5.8,14.7,39.4,2.5,2.9,84.6,1.2,5.8,7.0,4.6,3.6,1.4,0.4,3.5,46.5,2,0,-2.3,2020
54,CJ McCollum,POR,28,70,34,36,47.4,28.8,11.3,25.1,45.1,3.6,9.5,37.9,2.6,3.4,75.7,0.9,4.6,5.5,5.7,2.4,1.0,0.8,3.4,47.0,4,0,0.3,2020
55,CJ Miles,WAS,33,10,4,6,44.0,17.5,5.2,16.1,32.2,3.0,9.6,31.4,4.1,5.5,75.0,1.1,2.2,3.3,3.3,1.1,2.7,1.1,3.8,36.7,0,0,-2.2,2020
56,Caleb Martin,CHA,24,18,6,12,50.0,17.5,5.8,13.3,44.0,3.2,5.8,54.1,2.7,3.3,81.0,1.6,4.4,6.0,3.6,2.4,1.9,1.1,5.1,36.8,0,0,0.9,2020
57,Caleb Swanigan,POR,23,27,12,15,46.2,10.4,4.5,7.5,59.6,0.0,0.3,0.0,1.4,2.7,52.9,4.3,11.7,16.0,5.0,5.9,0.5,1.1,9.9,36.0,0,0,-7.1,2020
58,Cam Reddish,ATL,20,58,17,41,45.6,18.0,6.3,16.3,38.4,2.4,7.4,33.2,3.0,3.7,80.2,1.0,5.3,6.4,2.6,2.8,1.8,0.8,3.9,34.5,0,0,-7.2,2020
59,Cameron Johnson,PHX,24,57,28,29,46.3,18.6,6.5,14.9,43.5,3.9,10.0,39.0,1.7,2.1,80.7,1.8,5.1,6.9,2.5,1.2,1.3,0.7,3.2,35.7,2,0,0.4,2020
60,Cameron Payne,PHX,25,8,8,0,46.0,21.9,8.3,17.1,48.5,3.8,7.3,51.7,1.5,1.8,85.7,1.0,6.8,7.8,6.0,2.8,2.0,0.5,5.0,45.0,0,0,22.4,2020
61,Caris LeVert,BKN,25,45,21,24,46.8,29.7,11.0,25.8,42.5,2.8,7.7,36.4,4.9,6.9,71.1,1.7,4.9,6.7,7.0,4.2,1.9,0.4,2.9,50.7,2,1,-0.1,2020
62,Carmelo Anthony,POR,36,58,28,30,47.8,22.5,8.4,19.6,43.0,2.2,5.7,38.5,3.4,4.0,84.5,1.8,7.5,9.2,2.1,2.5,1.2,0.7,4.3,40.0,5,0,0.5,2020
63,Carsen Edwards,BOS,22,37,25,12,45.8,15.8,5.5,16.7,32.8,3.1,9.9,31.6,1.7,2.5,68.4,0.8,5.4,6.1,3.1,2.0,1.6,0.5,4.4,32.2,0,0,-6.1,2020
64,Cedi Osman,CLE,25,65,19,46,47.8,18.0,6.7,15.2,43.7,3.1,8.0,38.3,1.6,2.4,67.0,1.0,4.8,5.8,3.9,2.3,1.4,0.4,4.0,33.7,2,0,-8.8,2020
65,Chandler Hutchison,CHI,24,28,8,20,45.8,18.9,7.0,15.2,45.7,1.0,3.3,31.6,4.0,6.8,59.0,1.6,7.8,9.4,2.3,2.3,2.3,0.6,4.1,40.1,0,0,-12.5,2020
66,Chandler Parsons,ATL,31,5,0,5,43.0,11.1,4.0,14.3,27.8,3.2,11.1,28.6,0.0,0.0,0.0,0.8,4.8,5.6,2.4,2.4,3.2,0.8,2.4,30.9,0,0,-31.7,2020
67,Charlie Brown Jr.,ATL,23,10,1,9,46.5,23.0,6.9,21.8,31.6,3.4,10.3,33.3,5.7,5.7,100,2.3,2.3,4.6,2.3,3.4,2.3,2.3,3.4,42.3,0,0,32.2,2020
68,Chasson Randle,GSW,27,3,2,1,46.4,5.7,0.0,4.6,0.0,0.0,2.3,0.0,5.7,6.9,83.3,0.0,2.3,2.3,5.7,0.0,2.3,0.0,3.4,24.0,0,0,-4.6,2020
69,Cheick Diallo,PHX,23,47,20,27,47.2,21.6,9.1,14.0,64.8,0.1,0.3,33.3,3.4,3.8,87.2,3.0,10.0,12.9,2.2,3.2,1.1,1.2,5.4,44.0,1,0,-4.6,2020
70,Chimezie Metu,SAS,23,18,8,10,46.0,25.3,10.5,18.3,57.1,0.0,0.9,0.0,4.4,5.7,76.9,5.2,9.2,14.4,4.4,4.4,1.3,2.6,3.1,56.6,0,0,-3.9,2020
71,Chris Boucher,TOR,27,62,45,17,46.8,23.5,8.1,17.1,47.2,2.2,6.7,32.2,5.2,6.6,78.4,6.1,9.7,15.8,1.5,1.6,1.3,3.5,6.5,57.3,5,0,5.7,2020
72,Chris Chiozza,BKN,24,28,14,14,45.4,16.1,6.2,15.8,39.3,3.1,8.1,37.5,0.6,0.6,100,1.0,5.0,6.0,9.4,3.6,2.4,0.5,4.2,42.2,1,0,10.3,2020
73,Chris Clemons,HOU,22,33,19,14,45.2,25.0,8.9,22.1,40.1,5.8,16.6,34.6,1.6,1.7,90.9,0.6,4.0,4.7,4.2,3.0,1.4,0.9,4.0,41.0,0,0,-9.6,2020
74,Chris Paul,OKC,35,70,44,26,47.7,26.6,9.4,19.2,48.9,2.4,6.6,36.5,5.5,6.0,90.7,0.6,7.0,7.5,10.2,3.5,2.4,0.2,3.4,55.4,10,0,7.1,2020
75,Chris Silva,MIA,23,44,27,17,46.9,18.0,6.5,10.6,61.5,0.0,0.4,0.0,5.0,7.4,67.3,8.1,8.9,17.1,3.1,4.3,1.2,2.8,11.5,51.0,0,0,-7.3,2020
76,Christian Wood,DET,24,62,20,42,48.1,29.4,10.5,18.5,56.7,2.0,5.1,38.6,6.5,8.8,74.4,3.8,10.4,14.2,2.2,3.1,1.2,2.0,3.6,56.2,12,0,2.5,2020
77,Clint Capela,ATL,26,39,22,17,46.0,19.5,8.8,13.9,62.9,0.0,0.0,0.0,2.0,3.7,52.9,6.0,13.3,19.3,1.7,2.3,1.2,2.6,3.7,54.3,27,0,2.2,2020
78,Coby White,CHI,20,65,22,43,46.9,24.0,8.7,22.2,39.4,3.7,10.5,35.4,2.9,3.6,79.1,0.8,5.7,6.4,4.9,3.1,1.4,0.2,3.3,40.7,0,0,-4.6,2020
79,Cody Martin,CHA,24,48,16,32,48.7,12.8,4.8,11.2,43.0,1.0,4.2,23.4,2.3,3.5,64.6,2.1,6.5,8.5,5.1,2.4,2.1,0.5,4.2,36.2,0,0,-3.7,2020
80,Cody Zeller,CHA,27,58,18,40,49.2,23.6,9.2,17.6,52.4,0.7,2.8,24.0,4.5,6.6,68.2,5.9,9.2,15.1,3.2,2.8,1.5,0.9,5.1,50.9,10,0,-8.1,2020
81,Collin Sexton,CLE,21,65,19,46,47.7,30.1,11.4,24.2,47.2,2.2,5.7,38.0,5.0,5.9,84.6,1.4,3.2,4.5,4.3,3.5,1.4,0.2,3.2,43.2,0,0,-8.8,2020
82,Corey Brewer,SAC,34,5,2,3,44.0,6.8,2.7,5.4,50.0,0.0,1.4,0.0,1.4,4.1,33.3,2.7,8.1,10.8,2.7,2.7,5.4,0.0,9.5,37.3,0,0,6.8,2020
83,Cory Joseph,SAC,28,72,31,41,48.3,12.6,4.7,11.3,41.5,1.5,4.4,35.2,1.6,1.9,85.7,1.2,4.0,5.2,6.9,2.2,1.5,0.6,3.7,33.0,0,0,-1.2,2020
84,Courtney Lee,DAL,34,24,15,9,47.7,14.8,5.5,11.3,48.8,2.9,6.5,44.7,0.8,1.0,85.7,1.0,3.4,4.4,1.7,1.5,2.5,0.8,4.6,31.0,0,0,5.4,2020
85,Cristiano Felicio,CHI,27,22,6,16,48.0,10.7,4.2,6.7,63.0,0.0,0.2,0.0,2.2,2.9,78.3,6.8,5.9,12.7,2.0,2.2,1.2,0.2,4.2,31.2,0,0,-7.1,2020
86,D'Angelo Russell,MIN,24,45,11,34,45.8,32.8,11.4,26.7,42.6,5.0,13.6,36.7,5.1,6.3,80.9,0.5,5.0,5.6,9.0,4.6,1.5,0.4,2.7,54.1,3,0,-7.9,2020
87,D.J. Augustin,ORL,32,57,28,29,48.0,20.2,6.2,15.6,39.9,2.4,6.8,34.8,5.4,6.1,89.0,0.7,3.4,4.1,8.8,2.9,1.1,0.0,2.4,39.1,0,0,2.6,2020
88,D.J. Wilson,MIL,24,37,29,8,44.7,16.4,6.4,16.3,39.4,2.2,9.0,24.7,1.4,2.2,61.1,1.5,9.9,11.3,3.1,2.3,0.4,0.6,4.1,35.2,0,0,-5.8,2020
89,DaQuan Jeffries,SAC,22,13,4,9,44.2,15.7,6.3,12.5,50.0,1.6,5.6,27.8,1.6,1.9,83.3,0.9,4.7,5.6,2.2,0.6,1.3,0.3,6.0,29.8,0,0,0.6,2020
90,Damian Jones,ATL,25,55,15,40,46.0,15.9,6.3,9.2,68.0,0.1,0.5,22.2,3.2,4.4,73.8,3.8,6.8,10.7,1.8,1.5,1.3,2.1,7.7,40.2,0,0,-13.3,2020
91,Damian Lillard,POR,29,66,33,33,47.0,37.6,11.8,25.6,46.3,5.1,12.8,40.1,8.7,9.8,88.8,0.6,4.8,5.4,10.1,3.7,1.3,0.4,2.2,60.7,19,1,1.6,2020
92,Damion Lee,GSW,27,49,12,37,46.6,20.3,7.0,16.7,41.7,2.8,7.8,35.6,3.6,4.1,87.3,1.0,6.8,7.8,4.4,2.2,1.6,0.2,3.8,39.6,3,0,-4.1,2020
93,Damyean Dotson,NYK,26,48,14,34,47.2,18.1,6.8,16.4,41.4,3.3,9.2,36.2,1.2,1.9,66.7,0.6,4.6,5.1,3.2,1.2,1.3,0.2,2.5,32.5,0,0,-4.9,2020
94,Daniel Gafford,CHI,21,43,15,28,47.1,17.0,7.3,10.4,70.1,0.0,0.0,0.0,2.5,4.6,53.3,4.0,4.2,8.2,1.6,2.2,1.0,4.3,7.6,43.0,0,0,-2.2,2020
95,Daniel Theis,BOS,28,65,42,23,48.2,18.5,7.4,13.1,56.6,1.0,3.0,33.3,2.7,3.5,76.3,4.3,8.8,13.1,3.4,1.7,1.1,2.6,6.7,48.8,7,0,6.2,2020
96,Danilo Gallinari,OKC,31,62,37,25,48.3,30.6,9.4,21.5,43.8,4.7,11.6,40.5,7.0,7.9,89.3,0.9,7.6,8.5,3.1,2.0,1.1,0.1,2.0,47.2,3,0,6.1,2020
97,Danny Green,LAL,33,68,51,17,46.6,15.1,5.4,13.1,41.6,3.3,9.0,36.7,0.9,1.3,68.8,1.4,4.8,6.2,2.5,1.7,2.3,0.9,3.8,34.3,0,0,7.1,2020
98,Dante Exum,CLE,24,35,10,25,47.9,15.7,5.5,11.7,47.1,1.5,4.2,34.9,3.2,4.2,74.4,1.2,5.4,6.6,3.9,3.1,1.3,0.8,3.7,32.7,0,0,-10.7,2020
99,Danuel House Jr.,HOU,27,63,40,23,45.9,15.9,5.5,12.9,42.7,3.1,8.5,36.3,1.8,2.2,81.1,1.4,5.0,6.4,2.0,1.3,1.6,0.8,3.2,32.6,2,0,3.0,2020
100,Dario Saric,PHX,26,66,32,34,46.9,20.3,7.4,15.5,47.6,2.4,6.8,35.7,3.1,3.7,84.4,2.9,8.8,11.7,3.5,2.5,1.1,0.5,4.5,41.6,9,0,-2.0,2020
101,Darius Bazley,OKC,20,61,36,25,47.1,14.3,5.2,13.2,39.4,2.0,5.9,34.8,1.8,2.6,69.4,1.3,9.0,10.3,1.7,1.9,1.0,1.7,2.3,35.3,1,0,-3.3,2020
102,Darius Garland,CLE,20,59,17,42,47.6,19.0,7.3,18.3,40.1,2.7,7.7,35.5,1.6,1.9,87.5,0.7,2.2,2.9,6.0,3.9,1.1,0.1,2.4,31.1,1,0,-7.7,2020
103,Daryl Macon,MIA,24,4,4,0,50.4,10.7,3.6,10.7,33.3,3.6,7.1,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,7.1,0.0,0.0,3.6,8.9,0,0,0.0,2020
104,David Nwaba,HOU,27,20,8,12,46.1,17.9,6.4,12.2,52.1,2.1,4.8,42.9,3.1,4.6,66.7,1.4,6.4,7.7,1.4,1.4,1.9,2.1,5.5,39.7,0,0,6.0,2020
